Title,PositiveReview,NegativeReview,Score,GuestName,GuestCountry,RoomType,NumberOfNights,VisitDate,GroupType,PropertyResponse
"Great little hotel very close to Mackenzie Beach and the airport.


Great little hotel very close to Mackenzie Beach and the airport.",We only had drinks.,The taxi driver who picked us up for the short drive to the airport ripped us off. Be sure to negotiate the price beforehand. It's your own fault!,9.0,Hartmut,Germany,Double Room with Balcony,1 night,August 2022,Couple,
"If I go to Larnaca again I will definitely visit this hotel again


If I go to Larnaca again I will definitely visit this hotel again","Excellent location, 7 minutes walk from the boardwalk and the airport
The hotel staff is simply charming and kind!
The hotel was recently renovated, rooms are in new and clean condition
In addition, there is smart technology, there are electronic buttons to request cleaning for the room, a bell and remote control of the air conditioner if there is a problem.
They upgraded our room for free.
The hotel put us in touch with a taxi driver who took us to visit the mall and charged us decent prices.",.,10.0,Racheli,Israel,Standard Triple Room,1 night,August 2022,Family,
"Exceptional


Exceptional",friendly staff,,10.0,Virmont,France,Double Room,1 night,August 2022,Couple,
,,,10.0,Dror,Israel,Two-Bedroom Suite,1 night,August 2022,Family,
"Wonderful


Wonderful",a comfortable place. Quiet friendly staff. Quiet and spacious.,,9.0,Roey,Israel,Budget Twin Room,1 night,July 2022,Couple,
"Wonderful


Wonderful","Friendly people both at the reception and in the restaurant, willing to serve",The elevator. it needs more cleaning and maybe a complete renovation would be better.,9.0,Dimitris,Greece,Double Room with Balcony,2 nights,July 2022,Solo traveler,
"excellent hospitality and cleanliness


excellent hospitality and cleanliness","the calm and comfort of the bedding, the balcony, the spacious room",the blue light on the balcony at night which interferes with sleeping open window,9.0,Patricia,France,Double Room with Balcony,1 night,July 2022,Solo traveler,
"Exceptional


Exceptional","Amazing team!!!
Helps with any question and problem... smiling and patient.
Changed us to a family room that we requested..
They gave us great recommendations for places in the city. Order taxis for us...help with car rental.
They even celebrated our daughter's birthday with a surprise..
In short, an experience",,10.0,Zachi,Israel,Double Room,2 nights,July 2022,Family,
"cheap and good


cheap and good","Everything was excellent, personal attention",,10.0,Oshri,Israel,Double Room,1 night,July 2022,Family,
"Enjoy Larnaka


Enjoy Larnaka","The restaurant service is very good, varied and with good prices, the workers are very pleasant and attentive.",The air conditioning had poor regulation... or cold (and directly to the body) or heat.,9.0,Andréslidón,Spain,Two-Bedroom Suite,3 nights,July 2022,Family,
"Perfect ! Thank you for the welcoming
Perfect ! Thank you for the welcoming",All,Nothing,10.0,Clémence,France,Double Room,1 night,July 2022,Couple,
"Fantastic hotel for a practical overnight stay


Fantastic hotel for a practical overnight stay","Good, firm beds and nice air conditioning in the room. We were especially impressed with the staff: they were very nice and prepared a fantastic breakfast for us! Self check-in at night was also very easy. And they arranged a taxi from the airport to the hotel for us, what a great service!","There was a bottle of water ready, that should have been two for 6 people. Everything else was to your liking!",9.0,Dieuwertje,Netherlands,Suite with Balcony,1 night,July 2022,Family,
"A pampering, clean hotel with a staff that cares about the guests


A pampering, clean hotel with a staff that cares about the guests",Hotel near airport about 10 minutes drive away,,10.0,Ragusa,Israel,Double Room with Balcony,1 night,July 2022,Couple,
"Wonderful


Wonderful",Great place good staff worth the price,,9.0,Levi,Israel,Family Suite with Balcony,1 night,July 2022,Group,
"It was a pleasant stay, the staff were friendly, the cleanliness was exceptional, and the price was the lowest. I recommend everyone to book


It was a pleasant stay, the staff were friendly, the cleanliness was exceptional, and the price was the lowest. I recommend everyone to book","Welcoming by the staff, super clean, location and price",Difficulty finding parking,10.0,Thabet,Cyprus,Suite with Balcony,1 night,July 2022,Group,
"Family stay


Family stay","The reception and availability of staff.
The comfort of the room and its layout.",,10.0,Zine-eddine,France,Family Suite with Balcony,4 nights,July 2022,Family,
"Very Good


Very Good",Room comfort.,Nothing.,8.0,Filomena63,Italy,Double Room with Balcony,1 night,July 2022,Solo traveler,
"Exceptional


Exceptional",A place that gives full value for the price. Good location. Excellent cleanliness. Professional staff. Excellent food,,10.0,אבי,Israel,Family Suite with Balcony,1 night,July 2022,Family,
"Exceptional


Exceptional","clean, quiet, well organized",,10.0,Tony,France,Two-Bedroom Suite,1 night,July 2022,Family,
"Wonderful


Wonderful",Very accommodating and nice staff. Helpful. Top,,9.0,Mikail,Germany,Double Room with Balcony,1 night,July 2022,Solo traveler,
"very good, I would definitely go there another time, I can recommend it to all my friends


very good, I would definitely go there another time, I can recommend it to all my friends",the employees are nice - clean - close to the airport and the beach,,10.0,Richard,Hungary,Double Room with Balcony,2 nights,July 2022,Couple,
"Exceptional


Exceptional",Perfect for a stay in Larnaca. Everything was in order.,,10.0,Teresa,Germany,Double Room,7 nights,April 2022,Solo traveler,
"Very Good


Very Good","Arrival at 5am, just for one night.
The owners left us clear and precise information for our arrival, sending us photos.
Cleanliness, distance from the airport, quality of bedding, size of the room, bottle of water available.
Sympathy of the owners in the morning who made the effort to speak French to us.
We recommend eyes closed.","Works next door, but unfortunately the owners can't do anything about it",8.0,Justine,France,Double Room with Balcony,1 night,July 2022,Couple,
"Exceptional


Exceptional","New hotel, everything is clean and fresh. We were interested in a hotel near the airport, it met our expectations!)",,10.0,Lana,Ukraine,Standard Triple Room,1 night,July 2022,Family,
"Interesting surroundings and perfectly tolerable weather. It was a bit of a respite from the heat


Interesting surroundings and perfectly tolerable weather. It was a bit of a respite from the heat",Very varied breakfasts to choose from in the hotel restaurant.,There were no such elements,8.0,Mirosław,Poland,Double Room with Balcony,4 nights,June 2022,Couple,
"pleasant


pleasant","cleanliness, comfort",,8.0,Ελενη,Cyprus,Family Suite with Balcony,1 night,July 2022,Group,
"A beautiful experience.


A beautiful experience.","The dishes cooked to order are delicious, I recommend eating at Jasmine Garden.",🤫,8.0,Mariana,Romania,Double Room with Balcony,7 nights,July 2022,Couple,
"Nice place


Nice place","Liked the hotel. Newly refurbished, clean and tidy. Nice welcoming staff. Kindly settled early. We had a delicious dinner at the hotel restaurant. There is a cozy courtyard. Parking.","Very uncomfortable folding bed, the child at night could not fall asleep with it. It is also quite noisy at night - you can hear airplanes and music from nightclubs, but I think this does not apply to the hotel, such a location, but it is close to the airport.",9.0,Larisa,Montenegro,Standard Triple Room,1 night,July 2022,Family,
"very good place to stay, a short distance from the airport and not far to walk down to the beach
very good place and store, short distance from the airport and not far to walk down to the beach","Pleasant staff, clean and tidy. Good food.",,10.0,Elizabeth,Norway,Family Suite with Balcony,2 nights,July 2022,Family,
"Very Good


Very Good","very clean cheap, modern room",Noisy outside,8.0,Véronique,Canada,Double Room with Balcony,1 night,June 2022,Group,
"Very Good


Very Good","Excellent location, a few steps from the sea and from via dei premises, in 20 minutes on foot you can also reach the ""historic"" center.
Excellent breakfast and meals in the restaurant, all freshly made.
Modern and renovated rooms, very comfortable beds",Slightly small bathroom but still ok,8.0,Alessandra,Italy,Budget Twin Room,2 nights,June 2022,Group,
